                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98038,                  2.541,                  3.651,                 1.2514,                0.00844,                0.57912,                0.07035,                0.04539,                0.00813,                0.54882,                0.06306,                0.04594,                0.94186,                  2.946,                 3.6473,                 1.1699,                 0.0003,                 0.0003,                 0.0003
                      2,                0.89423,                 1.8463,                 3.0627,                 1.1658,                0.43068,                0.09524,                0.13458,                0.10203,                0.43068,                0.09524,                0.13101,                0.09642,                0.94932,                 2.7298,                 3.0911,                 1.1819,             0.00060698,             0.00060698,             0.00060698
                      3,                0.94768,                 1.6981,                  2.846,                 1.1808,                0.08201,                 0.3101,                0.09825,                0.07672,                0.07904,                0.30015,                0.10261,                0.07302,                 1.0291,                   3.02,                 3.1159,                 1.1984,             0.00091089,             0.00091089,             0.00091089
                      4,                 0.9082,                 1.4215,                 2.6381,                 1.1392,                0.10525,                0.34947,                0.10573,                0.07573,                0.10484,                0.34571,                0.10562,                0.07564,                  1.105,                 2.7528,                 3.1238,                 1.3371,             0.00098515,             0.00098515,             0.00098515
                      5,                0.89889,                 1.3777,                 2.5838,                 1.1553,                0.12003,                0.34485,                0.11741,                0.07726,                0.12003,                0.34485,                0.11637,                0.07814,                 1.2774,                 2.6655,                 2.9825,                 1.5234,             0.00098515,             0.00098515,             0.00098515
                      6,                0.89289,                 1.4158,                 2.5553,                 1.1282,                0.15728,                0.28344,                0.15606,                0.09175,                0.15728,                0.28344,                0.15702,                0.10445,                 1.1384,                 2.5072,                 2.8132,                 1.3744,              0.0009802,              0.0009802,              0.0009802
                      7,                0.88599,                 1.3989,                 2.4978,                 1.1623,                0.14905,                0.35997,                0.16317,                0.10133,                0.14905,                0.35997,                0.16094,                0.10686,                 1.0279,                 2.7276,                 2.9044,                 1.2016,             0.00097525,             0.00097525,             0.00097525
                      8,                0.87005,                 1.3579,                 2.4082,                 1.1099,                0.12478,                0.34545,                0.16141,                 0.0922,                0.13566,                0.35657,                0.16833,                0.10671,                 1.0468,                  2.604,                 2.8413,                 1.2017,              0.0009703,              0.0009703,              0.0009703
                      9,                 0.8999,                 1.3441,                 2.3485,                 1.1238,                0.11185,                0.22245,                0.11823,                0.07239,                0.09589,                0.26164,                0.11668,                0.07139,                 1.0647,                  2.975,                 3.0455,                 1.3203,             0.00096535,             0.00096535,             0.00096535
                     10,                 0.8405,                 1.2047,                  2.282,                 1.1059,                0.11271,                0.25034,                0.10467,                0.07403,                 0.1132,                0.25034,                0.10473,                0.07303,                 1.1136,                 3.4554,                 3.1107,                 1.3466,              0.0009604,              0.0009604,              0.0009604
                     11,                0.81118,                 1.2576,                  2.212,                 1.0698,                  0.097,                0.31666,                0.12725,                0.08552,                0.09167,                0.29399,                0.13149,                0.08667,                 1.0259,                 3.3234,                 2.9346,                 1.2349,             0.00095545,             0.00095545,             0.00095545
                     12,                0.81364,                 1.1979,                 2.0497,                 1.0459,                0.14443,                0.25725,                0.11857,                0.08392,                0.15291,                0.26332,                0.12597,                0.08659,                 1.0474,                 2.7407,                 2.8817,                 1.2384,              0.0009505,              0.0009505,              0.0009505
                     13,                0.76329,                 1.1088,                 2.0078,                 1.0451,                0.15968,                0.19028,                0.13599,                 0.1063,                0.15968,                0.19028,                0.13524,                0.10531,                0.97452,                 2.3177,                 2.8554,                 1.1982,             0.00094555,             0.00094555,             0.00094555
                     14,                 0.7818,                   1.13,                 1.9521,                 1.0625,                0.13625,                0.30192,                0.15623,                0.10611,                0.13757,                0.30192,                0.15196,                  0.104,                 1.0016,                 2.6086,                 2.8831,                  1.163,              0.0009406,              0.0009406,              0.0009406
                     15,                0.76576,                 1.0082,                 1.9353,                 1.0478,                0.12457,                0.22419,                0.15662,                0.11938,                0.18375,                0.17546,                0.16284,                0.13236,                 1.1075,                  2.316,                 2.8706,                 1.2449,             0.00093565,             0.00093565,             0.00093565
                     16,                 0.8166,                 1.2315,                  1.844,                 1.0777,                0.07981,                0.23205,                0.10443,                0.08023,                0.07981,                0.23205,                0.10366,                0.08257,                 1.0595,                 2.5015,                 3.0621,                 1.2601,              0.0009307,              0.0009307,              0.0009307
                     17,                0.76285,                 1.1583,                 1.7508,                 1.0489,                0.10854,                 0.2252,                 0.1024,                0.07965,                0.10952,                 0.2252,                0.09239,                0.06925,                 1.1057,                 2.6779,                 2.9779,                 1.3479,             0.00092575,             0.00092575,             0.00092575
                     18,                0.75903,                 1.0841,                 1.7485,                 1.0537,                0.19819,                0.21837,                0.17308,                  0.118,                0.19819,                0.21837,                0.16704,                0.12354,                 1.2175,                 2.3982,                 2.9486,                 1.3818,              0.0009208,              0.0009208,              0.0009208
                     19,                0.72264,                 1.0279,                 1.6819,                  1.019,                0.11313,                0.23163,                 0.1495,                0.10323,                0.11571,                0.24954,                0.14557,                0.10361,                 1.1017,                 2.5097,                 3.1702,                 1.2942,             0.00091585,             0.00091585,             0.00091585
                     20,                0.76072,                 1.0881,                 1.6287,                 1.0338,                0.16969,                0.34506,                0.15128,                0.10753,                 0.1764,                0.36021,                0.15459,                0.11566,                 1.0294,                 2.4118,                 2.9243,                 1.2284,              0.0009109,              0.0009109,              0.0009109
                     21,                 0.7347,                 1.0526,                 1.6394,                 1.0232,                0.07396,                0.11522,                 0.1233,                0.09237,                0.08796,                0.13189,                0.13125,                0.10048,                  1.045,                 2.4129,                 3.2197,                 1.2678,             0.00090595,             0.00090595,             0.00090595
                     22,                 0.6895,                 1.0116,                   1.56,                 1.0204,                0.12553,                 0.1991,                0.12641,                 0.0975,                0.12553,                 0.1991,                0.12352,                0.09464,                 1.0025,                 2.4333,                 3.0561,                 1.2377,               0.000901,               0.000901,               0.000901
                     23,                0.71853,                 1.1146,                 1.5212,                 1.0228,                0.18406,                0.38726,                0.15343,                0.10509,                0.18632,                0.38575,                0.15872,                0.10699,                0.94093,                 2.5452,                  3.012,                 1.1839,             0.00089605,             0.00089605,             0.00089605
                     24,                0.70512,                 1.0014,                 1.5138,                 1.0181,                0.18433,                 0.2412,                0.16574,                0.12517,                0.18433,                 0.2412,                0.16836,                0.12848,                0.91164,                 2.5526,                  2.977,                 1.1492,              0.0008911,              0.0008911,              0.0008911
